entrezID	symbol
48	HEL60
49	ACR
50	ACO2
50	ACONM
50	ICRD
50	HEL-S-284
50	OCA8
50	OPA9
50	LOC105369160
51	ACOX1
51	ACOX
51	PALMCOX
51	SCOX
52	ACP1
52	HAAP
52	LMW-PTP
52	LMWPTP
53	ACP2
53	LAP
54	ACP5
54	SPENCDI
54	TRAP
54	HPAP
54	TRACP5a
54	TRACP5b
54	TrATPase
55	ACPP
55	5%27-NT
55	ACP-3
55	ACP3
55	PAP
55	5'-NT
56	ACRV1
56	D11S4365
56	SP-10
56	SPACA2
58	ACTA1
58	ACTA
58	ASMA
58	CFTD
58	CFTD1
58	CFTDM
58	MPFD
58	NEM1
58	NEM2
58	NEM3
58	SHPM
59	ACTA2
59	AAT6
59	ACTSA
59	MYMY5
60	ACTB
60	BRWS1
60	PS1TP5BP1
60	ACTG1
62	ACTBP2
63	ACTBP3
64	ACTBP4
66	ACTBP6
66	H8-PSI-BETA-AC3
67	ACTBP7
68	ACTBP8
68	ACTBP2
69	ACTBP9
70	ACTC1
70	ACTC
70	ASD5
70	CMD1R
70	CMH11
70	LVNC4
71	ACTG1
71	ACT
71	ACTG
71	BRWS2
71	DFNA20
71	DFNA26
71	HEL-176
72	ACTG2
72	ACT
72	ACTA3
72	ACTE
72	ACTL3
72	ACTSG
72	VSCM
73	ACTG1P1
73	ACT1GP1
73	ACTGP1
73	HY-psi-gamma-AC6
74	ACTG1P2
74	ACTGP2
74	ACTL2
75	ACTG1P3
75	ACTGP3
75	dJ545L17.4
81	ACTN4
81	ACTININ-4
81	FSGS
81	FSGS1
82	ACTG1P9
82	ACTGP9
83	ACTG1P10
83	ACTGP10
83	ACTL1
83	ACTP1
86	ACTL6A
86	ACTL6
86	Arp4
86	ARPN-BETA
86	BAF53A
86	INO80K
87	ACTN1
87	BDPLT15
88	ACTN2
88	CMD1AA
88	CMH23
89	ACTN3
90	ACVR1
90	ACTRI
90	ACVR1A
90	ACVRLK2
90	ALK2
90	FOP
90	SKR1
90	TSRI
91	ACVR1B
91	ACTRIB
91	ACVRLK4
91	ALK4
91	SKR2
92	ACVR2A
92	ACTRII
92	ACVR2
93	ACVR2B
93	ActR-IIB
93	ACTRIIB
93	HTX4
94	ACVRL1
94	ACVRLK1
94	ALK-1
94	ALK1
94	HHT
94	HHT2
94	ORW2
94	SKR3
94	TSR-I
95	ACY1
95	ACY-1
95	ACY1D
95	HEL-S-5
95	ABHD14A-ACY1
97	ACYP1
97	ACYPE
98	ACYP2
98	ACYM
98	ACYP
98	LOC105374611
100	ADA
101	ADAM8
101	CD156
101	MS2
101	CD156a
102	ADAM10
102	AD10
102	CD156c
102	HsT18717
102	kuz
102	MADM
102	AD18
102	CDw156
102	RAK
103	ADAR
103	ADAR1
103	AGS6
103	DRADA
103	DSH
103	DSRAD
103	G1P1
103	IFI-4
103	IFI4
103	K88DSRBP
103	P136
104	ADARB1
104	ADAR2
104	DRABA2
104	DRADA2
104	RED1
105	ADARB2
105	ADAR3
105	RED2
107	ADCY1
107	AC1
107	DFNB44
108	ADCY2
108	AC2
108	HBAC2
109	ADCY3
109	AC3
109	AC-III
111	ADCY5
111	AC5
111	FDFM
112	ADCY6
112	AC6
112	LCCS8
113	ADCY7
113	AC7
114	ADCY8
114	AC8
114	ADCY3
114	HBAC1
115	ADCY9
115	AC9
115	ACIX
116	ADCYAP1
116	PACAP
117	ADCYAP1R1
117	PAC1
117	PAC1R
117	PACAPR
117	PACAPRI
118	ADD1
118	ADDA
119	ADD2
119	ADDB
120	ADD3
120	ADDL
120	CPSQ3
123	PLIN2
123	ADFP
123	ADRP
124	ADH1A
124	ADH1
125	ADH1B
125	ADH2
125	HEL-S-117
126	ADH1C
126	ADH3
127	ADH4
127	ADH-2
127	HEL-S-4
128	ADH5
128	ADH-3
128	ADHX
128	FALDH
128	FDH
128	GSH-FDH
128	GSNOR
128	HEL-S-60p
130	ADH6
130	ADH-5
131	ADH7
131	ADH4
132	ADK
132	AK
133	ADM
133	AM
133	PAMP
134	ADORA1
134	RDC7
135	ADORA2A
135	A2aR
135	ADORA2
135	RDC8
136	ADORA2B
136	ADORA2
137	ADORA2BP1
137	ADORA2BP
140	ADORA3
140	A3AR
140	AD026
140	bA552M11.5
140	RP11-552M11.7
141	ADPRH
141	ARH1
142	PARP1
142	ADPRT
142	ADPRT 1
142	ADPRT1
142	ARTD1
142	pADPRT-1
142	PARP
142	PARP-1
142	PPOL
143	PARP4
143	ADPRTL1
143	ARTD4
143	p193
143	PARP-4
143	PARPL
143	PH5P
143	VAULT3
143	VPARP
143	VWA5C
144	PARP1P1
144	ADPRTP1
144	PPOLP1
145	PARP1P2
145	ADPRTP2
145	PPOLP2
146	ADRA1D
146	ADRA1
146	ADRA1A
146	ADRA1R
146	ALPHA1
146	DAR
146	dJ779E11.2
147	ADRA1B
147	ADRA1
147	ALPHA1BAR
148	ADRA1A
148	ADRA1C
148	ADRA1L1
148	ALPHA1AAR
150	ADRA2A
150	ADRA2
150	ADRA2R
150	ADRAR
150	ALPHA2AAR
150	ZNF32
151	ADRA2B
151	ADRA2L1
151	ADRA2RL1
151	ADRARL1
151	alpha-2BAR
151	ALPHA2BAR
151	FAME2
152	ADRA2C
152	ADRA2L2
152	ADRA2RL2
152	ADRARL2
152	ALPHA2CAR
153	ADRB1
153	ADRB1R
153	B1AR
153	BETA1AR
153	RHR
154	ADRB2
154	ADRB2R
154	ADRBR
154	B2AR
154	BAR
154	BETA2AR
155	ADRB3
155	BETA3AR
156	ADRBK1
156	BARK1
156	BETA-ARK1
156	GRK2
157	ADRBK2
157	BARK2
157	GRK3
158	ADSL
158	AMPS
158	ASASE
158	ASL
159	ADSS
159	ADEH
159	ADSS 2
160	AP2A1
160	ADTAA
160	AP2-ALPHA
160	CLAPA1
161	AP2A2
161	ADTAB
161	CLAPA2
161	HIP-9
161	HIP9
161	HYPJ
161	LOC101927462
162	AP1B1
162	ADTB1
162	AP105A
162	BAM22
162	CLAPB2
163	AP2B1
163	ADTB2
163	AP105B
163	AP2-BETA
163	CLAPB1
164	AP1G1
164	ADTG
164	CLAPG1
165	AEBP1
165	ACLP
166	AES
166	AES-1
166	AES-2
166	ESP1
166	GRG
166	GRG5
166	TLE5
166	Grg-5
167	CRISP1
167	AEGL1
167	ARP
167	CRISP-1
167	HSCRISP1D
167	HSCRISP1G
167	HUMARP
167	HEL-S-57
172	AFG3L1P
172	AFG3
172	AFG3L1
173	AFM
173	ALB2
173	ALBA
173	ALF
174	AFP
174	FETA
174	HPAFP
174	AFPD
175	AGA
175	AGU
175	ASRG
175	GA
176	ACAN
176	AGC1
176	AGCAN
176	CSPG1
176	CSPGCP
176	MSK16
176	SEDK
177	AGER
177	RAGE
177	SCARJ1
178	AGL
178	GDE
181	AGRP
181	AGRT
181	ART
181	ASIP2
182	JAG1
182	AGS
182	AHD
182	AWS
182	CD339
182	HJ1
182	JAGL1
182	AGS1
183	AGT
183	ANHU
183	SERPINA8
183	hFLT1
185	AGTR1
185	AG2S
185	AGTR1A
185	AGTR1B
185	AT1
185	AT1AR
185	AT1B
185	AT1BR
185	AT1R
185	AT2R1
185	AT2R1A
185	AT2R1B
185	HAT1R
186	AGTR2
186	AT2
186	ATGR2
186	MRX88
187	APLNR
187	AGTRL1
187	APJ
187	APJR
187	HG11
189	AGXT
189	AGT
189	AGT1
189	AGXT1
189	PH1
189	SPAT
189	SPT
189	TLH6
190	NR0B1
190	AHC
190	AHCH
190	AHX
190	DAX-1
190	DAX1
190	DSS
190	GTD
190	HHG
190	NROB1
190	SRXY2
191	AHCY
191	adoHcyase
191	SAHH
196	AHR
196	bHLHe76
197	AHSG
197	A2HS
197	AHS
197	FETUA
197	HSGA
199	AIF1
199	AIF-1
199	IBA1
199	IRT-1
199	IRT1
202	AIM1
202	CRYBG1
202	ST4
203	AK1
203	HTL-S-58j
204	AK2
204	ADK2
204	AK 2
204	
205	AK4
205	AK 4
205	AK3
205	AK3L1
205	AK3L2
206	AK4P1
206	AK3P1
207	AKT1
207	AKT
207	CWS6
207	PKB
207	PKB-ALPHA
207	PRKBA
207	RAC
207	RAC-ALPHA
208	AKT2
208	HIHGHH
208	PKBB
208	PKBBETA
208	PRKBB
208	RAC-BETA
210	ALAD
210	ALADH
210	PBGS
211	ALAS1
211	ALAS
211	ALAS3
211	ALASH
211	MIG4
211	ALAS-H
212	ALAS2
212	ALAS-E
212	ALASE
212	ANH1
212	ASB
212	XLDPP
212	XLEPP
212	XLSA
212	SIDBA1
213	ALB
213	PRO0883
213	PRO0903
213	PRO1341
213	HSA
214	ALCAM
214	CD166
214	MEMD
215	ABCD1
215	ABC42
215	ALD
215	ALDP
215	AMN
216	ALDH1A1
216	ALDC
216	ALDH-E1
216	ALDH1
216	ALDH11
216	PUMB1
216	RALDH1
216	HEL-9
216	HEL-S-53e
216	HEL12
217	ALDH2
217	ALDH-E2
217	ALDHI
217	ALDM
218	ALDH3A1
218	ALDH3
218	ALDHIII
219	ALDH1B1
219	ALDH5
219	ALDHX
220	LOC145757
220	ALDH1A3
220	ALDH1A6
220	ALDH6
220	MCOP8
220	RALDH3
221	ALDH3B1
221	ALDH4
221	ALDH7
222	ALDH3B2
222	ALDH8
223	ALDH9A1
223	ALDH4
223	ALDH7
223	ALDH9
223	E3
223	TMABADH
224	ALDH3A2
224	ALDH10
224	FALDH
224	SLS
225	ABCD2
225	ABC39
225	ALDL1
225	ALDR
225	ALDRP
225	hALDR
226	ALDOA
226	ALDA
226	GSD12
226	HEL-S-87p
228	ALDOAP2
229	ALDOB
229	ALDB
229	ALDO2
230	ALDOC
230	ALDC
231	AKR1B1
231	ADR
231	ALDR1
231	ALR2
231	AR
236	AKR1B1P2
236	ALDRP
238	ALK
238	CD246
238	NBLST3
239	ALOX12
239	12-LOX
239	12S-LOX
239	LOG12
240	ALOX5
240	5-LO
240	5-LOX
240	5LPG
240	LOG5
241	ALOX5AP
241	FLAP
242	ALOX12B
242	12R-LOX
242	ARCI2
243	ALOX12P1
243	ALOX12P
244	ANXA8L2
244	
245	ALOX12P2
245	ALOX12E
246	ALOX15
246	15-LOX-1
246	15LOX-1
246	12-LOX
246	15-LOX
246	LOG15
247	ALOX15B
247	15-LOX-2
248	ALPI
248	IAP
249	ALPL
249	AP-TNAP
249	APTNAP
249	HOPS
249	TNAP
249	TNSALP
250	ALPP
250	ALP
250	PALP
250	PLAP
250	PLAP-1
251	ALPPL2
251	ALPG
251	ALPPL
251	GCAP
257	ALX3
257	FND1
257	FND
258	AMBN
258	AI1F
259	AMBP
259	A1M
259	EDC1
259	HCP
259	HI30
259	IATIL
259	ITI
259	ITIL
259	ITILC
259	UTI
262	AMD1
262	ADOMETDC
262	AMD
262	SAMDC
263	AMDP1
263	AMD
263	AMD2
263	AMDPX
263	AMDPY
263	AMD1P2
265	AMELX
265	AI1E
265	AIH1
265	ALGN
265	AMG
265	AMGL
265	AMGX
266	AMELY
266	AMGL
266	AMGY
267	AMFR
267	GP78
267	RNF45
268	AMH
268	MIF
268	MIS
269	AMHR2
269	AMHR
269	MISR2
269	MISRII
269	MRII
270	AMPD1
270	MAD
270	MADA
270	MMDD
271	AMPD2
271	PCH9
271	SPG63
272	AMPD3
273	AMPH
273	AMPH1
274	BIN1
274	AMPH2
274	AMPHL
274	SH3P9
275	AMT
275	GCE
275	GCST
275	GCVT
275	NKH
276	AMY1A
276	AMY1
276	AMY1B
276	AMY1C
277	AMY1B
277	AMY1
277	AMY1A
277	AMY1C
278	AMY1C
278	AMY1
278	AMY1A
278	AMY1B
279	AMY2A
279	AMY2
279	AMY2B
279	PA
280	AMY2B
280	AMY2
280	AMY3
280	HXA
281	AMYP1
281	AMY2P
283	ANG
283	ALS9
283	HEL168
283	RNASE4
283	RNASE5
283	RAA1
284	ANGPT1
284	AGP1
284	AGPT
284	ANG1
285	ANGPT2
285	AGPT2
285	ANG2
286	ANK1
286	ANK
286	SPH1
286	SPH2
287	ANK2
287	ANK-2
287	brank-2
287	LQT4
288	ANK3
288	ANKYRIN-G
288	MRT37
290	ANPEP
290	APN
290	CD13
290	GP150
290	LAP1
290	P150
290	PEPN
291	SLC25A4
291	1
291	AAC1
291	ANT
291	ANT1
291	PEO2
291	PEO3
291	T1
291	ANT 1
291	MTDPS12
291	MTDPS12A
291	PEOA2
292	SLC25A5
292	2F1
292	AAC2
292	ANT2
292	T2
292	T3
293	SLC25A6
293	2
293	3
293	AAC3
293	ANT
293	ANT3
293	ANT3Y
293	ANT 2
293	ANT 3
301	ANXA1
301	ANX1
301	LPC1
302	ANXA2
302	ANX2
302	ANX2L4
302	CAL1H
302	LIP2
302	LPC2
302	LPC2D
302	P36
302	PAP-IV
302	HEL-S-270
303	ANXA2P1
303	ANX2L1
303	ANX2P1
303	LPC2A
304	ANXA2P2
304	ANX2L2
304	ANX2P2
304	LPC2B
305	ANXA2P3
305	ANX2L3
305	ANX2P3
305	LIP2
305	LPC2C
306	ANXA3
306	ANX3
307	ANXA4
307	ANX4
307	PIG28
307	ZAP36
307	HEL-S-274
307	P32.5
307	PAP-II
307	PP4-X
308	ANXA5
308	ANX5
308	ENX2
308	PP4
308	RPRGL3
308	HEL-S-7
309	ANXA6
309	ANX6
309	CBP68
310	ANXA7
310	ANX7
310	SNX
310	SYNEXIN
311	ANXA11
311	ANX11
311	CAP50
311	CAP-50
312	ANXA13
312	ANX13
312	ISA
313	AOAH
314	AOC2
314	DAO2
314	RAO
314	SSAO
316	AOX1
316	AO
316	AOH1
317	APAF1
317	APAF-1
317	CED4
318	NUDT2
318	APAH1
319	APOF
319	Apo-F
319	LTIP
320	APBA1
320	D9S411E
320	LIN10
320	MINT1
320	X11
320	X11A
320	X11ALPHA
321	APBA2
321	D15S1518E
321	HsT16821
321	LIN-10
321	MGC:14091
321	MINT2
321	X11-BETA
321	X11L
322	APBB1
322	FE65
322	MGC:9072
322	RIR
323	APBB2
323	FE65L
323	FE65L1
324	APC
324	BTPS2
324	DP2
324	DP2.5
324	DP3
324	GS
324	PPP1R46
325	APCS
325	PTX2
325	SAP
325	HEL-S-92n
326	AIRE
326	AIRE1
326	APECED
326	APS1
326	APSI
326	PGA1
327	APEH
327	AARE
327	ACPH
327	APH
327	D3F15S2
327	D3S48E
327	DNF15S2
327	OPH
328	APEX1
328	APE
328	APE1
328	APEN
328	APEX
328	APX
328	HAP1
328	REF1
329	BIRC2
329	API1
329	c-IAP1
329	cIAP1
329	Hiap-2
329	HIAP2
329	MIHB
329	RNF48
330	BIRC3
330	AIP1
330	API2
330	c-IAP2
330	CIAP2
330	HAIP1
330	HIAP1
330	MALT2
330	MIHC
330	RNF49
331	XIAP
331	API3
331	BIRC4
331	hIAP-3
331	hIAP3
331	IAP-3
331	ILP1
331	MIHA
331	XLP2
331	
332	BIRC5
332	API4
332	EPR-1
333	APLP1
333	APLP
334	APLP2
334	APLP-2
334	APPH
334	APPL2
334	CDEBP
335	APOA1
335	apo(a)
336	APOA2
336	Apo-AII
336	ApoA-II
336	apoAII
337	APOA4
338	APOB
338	FLDB
338	LDLCQ4
338	apoB-100
338	apoB-48
339	APOBEC1
339	APOBEC-1
339	BEDP
339	CDAR1
339	HEPR
341	APOC1
341	Apo-CI
341	ApoC-I
341	apo-CIB
341	apoC-IB
342	APOC1P1
343	AQP8
343	AQP-8
344	APOC2
344	APO-CII
344	APOC-II
344	APOC4-APOC2
345	APOC3
345	APOCIII
345	HALP2
346	APOC4
346	APO-CIV
346	APOC-IV
346	APOC4-APOC2
347	APOD
348	APOE
348	AD2
348	LDLCQ5
348	LPG
348	APO-E
348	ApoE4
350	APOH
350	B2G1
350	B2GP1
350	BG
351	APP
351	AAA
351	ABETA
351	ABPP
351	AD1
351	APPI
351	CTFgamma
351	CVAP
351	PN-II
351	PN2
351	preA4
353	APRT
353	AMP
353	APRTD
354	KLK3
354	APS
354	hK3
354	KLK2A1
354	PSA
355	FAS
355	ALPS1A
355	APO-1
355	APT1
355	CD95
355	FAS1
355	FASTM
355	TNFRSF6
356	FASLG
356	ALPS1B
356	APT1LG1
356	APTL
356	CD178
356	CD95-L
356	CD95L
356	FASL
356	TNFSF6
356	TNLG1A
357	SHROOM2
357	APXL
357	HSAPXL
358	AQP1
358	AQP-CHIP
358	CHIP28
358	CO
359	AQP2
359	AQP-CD
359	WCH-CD
360	AQP3
360	AQP-3
360	GIL
361	AQP4
361	HMIWC2
361	MIWC
361	WCH4
362	AQP5
362	AQP-5
362	PPKB
363	AQP6
363	AQP2L
363	KID
364	AQP7
364	AQP7L
364	AQP9
364	AQPap
364	GLYCQTL
366	AQP9
366	AQP-9
366	HsT17287
366	SSC1
366	T17287
367	AR
367	AIS
367	DHTR
367	HUMARA
367	HYSP1
367	KD
367	NR3C4
367	SBMA
367	SMAX1
367	TFM
367	AR8
368	ABCC6
368	ABC34
368	ARA
368	EST349056
368	GACI2
368	MLP1
368	MOAT-E
368	MOATE
368	MRP6
368	PXE
368	PXE1
368	URG7
369	ARAF
369	A-RAF
369	ARAF1
369	PKS2
369	RAFA1
372	ARCN1
372	COPD
372	SRMMD
373	TRIM23
373	ARD1
373	ARFD1
373	RNF46
374	AREG
374	AR
374	CRDGF
374	SDGF
374	AREGB
375	ARF1
377	ARF3
378	ARF4
378	ARF2
379	ARL4D
379	ARF4L
379	ARL6
380	ARF4P1
380	ARF4P
381	ARF5
382	ARF6
383	ARG1
384	ARG2
387	RHOA
387	ARH12
387	ARHA
387	RHO12
387	RHOH12
388	RHOB
388	ARH6
388	ARHB
388	MST081
388	MSTP081
388	RHOH6
389	RHOC
389	ARH9
389	ARHC
389	H9
389	RHOH9
390	RND3
390	ARHE
390	memB
390	Rho8
390	RhoE
391	RHOG
391	ARHG
392	ARHGAP1
392	CDC42GAP
392	p50rhoGAP
392	RHOGAP
392	RHOGAP1
393	ARHGAP4
393	C1
393	p115
393	RGC1
393	RhoGAP4
393	SrGAP4
394	ARHGAP5
394	GFI2
394	p190-B
394	p190BRhoGAP
394	RhoGAP5
395	ARHGAP6
395	RHOGAP6
395	RHOGAPX-1
396	ARHGDIA
396	GDIA1
396	NPHS8
396	RHOGDI
396	RHOGDI-1
396	HEL-S-47e
397	ARHGDIB
397	D4
397	GDIA2
397	GDID4
397	Ly-GDI
397	LYGDI
397	RAP1GN1
397	RhoGDI2
398	ARHGDIG
398	RHOGDI-3
399	RHOH
399	ARHH
399	TTF
400	ARL1
400	ARFL1
401	PHOX2A
401	ARIX
401	CFEOM2
401	FEOM2
401	NCAM2
401	PMX2A
402	ARL2
402	ARFL2
403	ARL3
403	ARFL3
405	ARNT
405	bHLHe2
405	HIF-1-beta
405	HIF-1beta
405	HIF1-beta
405	HIF1B
405	HIF1BETA
405	TANGO
406	ARNTL
406	bHLHe5
406	BMAL1
406	BMAL1c
406	JAP3
406	MOP3
406	PASD3
406	TIC
407	ARR3
407	ARRX
407	cArr
408	ARRB1
408	ARB1
408	ARR1
409	ARRB2
409	ARB2
409	ARR2
409	BARR2
410	ARSA
410	MLD
411	ARSB
411	ASB
411	G4S
411	MPS6
412	STS
412	ARSC
412	ARSC1
412	ASC
412	ES
412	SSDD
412	XLI
414	ARSD
414	ASD
415	ARSE
415	ASE
415	CDPX
415	CDPX1
415	CDPXR
416	ARSF
416	ASF
417	ART1
417	ART2
417	ARTC1
417	CD296
417	RT6
418	ART2P
418	ART1P
418	RT6
419	ART3
419	ARTC3
420	ART4
420	ARTC4
420	CD297
420	DO
420	DOK1
421	ARVCF
427	ASAH1
427	AC
427	ACDase
427	ASAH
427	PHP
427	PHP32
427	SMAPME
429	ASCL1
429	ASH1
429	bHLHa46
429	HASH1
429	MASH1
430	ASCL2
430	ASH2
430	bHLHa45
430	HASH2
430	MASH2
432	ASGR1
432	ASGPR
432	ASGPR1
432	CLEC4H1
432	HL-1
433	ASGR2
433	ASGP-R2
433	ASGPR2
433	CLEC4H2
433	HBXBP
433	HL-2
434	ASIP
434	AGSW
434	AGTI
434	AGTIL
434	ASP
434	SHEP9
435	ASL
435	ASAL
436	ASLP1
436	ASLL
438	ASMT
438	ASMTY
438	HIOMT
438	HIOMTY
439	ASNA1
439	ARSA-I
439	ARSA1
439	ASNA-I
439	GET3
439	hASNA-I
439	TRC40
440	ASNS
440	TS11
440	ASNSD
442	ASNSP2
442	ASNSL2
443	ASPA
443	ACY2
443	ASP
444	ASPH
444	AAH
444	BAH
444	CASQ2BP1
444	HAAH
444	JCTN
444	junctin
444	FDLAB
445	ASS1
445	ASS
445	CTLN1
447	ASS1P2
447	ASSP2
449	ASS1P4
449	ASSP4
450	ASS1P5
450	ASSP5
451	ASS1P6
451	ASSP6
453	ASS1P8
453	ASSP8
454	ASS1P9
454	ASSP9
455	ASS1P10
455	ASSP10
459	ASS1P14
459	ASSP14
460	ASTN1
460	ASTN
462	SERPINC1
462	AT3
462	AT3D
462	ATIII
462	THPH7
463	ZFHX3
463	ATBF1
463	ATBT
463	ZNF927
466	ATF1
466	EWS-ATF1
466	FUS%2FATF-1
466	TREB36
466	FUS/ATF-1
467	ATF3
468	ATF4
468	CREB-2
468	CREB2
468	TAXREB67
468	TXREB
469	ATF4P1
469	ATF4P
469	TAXREB67P
469	TXREBP
471	ATIC
471	AICAR
471	AICARFT
471	IMPCHASE
471	PURH
471	HEL-S-70p
472	ATM
472	AT1
472	ATA
472	ATC
472	ATD
472	ATDC
472	ATE
472	TEL1
472	TELO1
473	RERE
473	ARG
473	ARP
473	ATN1L
473	DNB1
473	NEDBEH
474	ATOH1
474	ATH1
474	bHLHa14
474	HATH1
474	MATH-1
475	ATOX1
475	ATX1
475	HAH1
476	ATP1A1
477	ATP1A2
477	FHM2
477	MHP2
478	ATP1A3
478	AHC2
478	DYT12
478	RDP
478	ATP1A1
478	CAPOS
479	ATP12A
479	ATP1AL1
479	HK
480	ATP1A4
480	ATP1A1
480	ATP1AL2
481	ATP1B1
481	ATP1B
482	ATP1B2
482	AMOG
483	ATP1B3
483	ATPB-3
483	CD298
484	ATP1B3P1
485	ATP1B1P1
485	ATP1BL1
486	FXYD2
486	ATP1G1
486	HOMG2
487	ATP2A1
487	ATP2A
487	SERCA1
488	ATP2A2
488	ATP2B
488	DAR
488	DD
488	SERCA2
489	ATP2A3
489	SERCA3
490	ATP2B1
490	PMCA1
490	PMCA1kb
491	ATP2B2
491	PMCA2
491	PMCA2a
491	PMCA2i
492	ATP2B3
492	PMCA3
492	PMCA3a
492	SCAX1
492	CFAP39
492	CLA2
492	OPCA
493	ATP2B4
493	ATP2B2
493	MXRA1
493	PMCA4
493	PMCA4b
493	PMCA4x
495	ATP4A
495	ATP6A
496	ATP4B
496	ATP6B
498	ATP5A1
498	ATP5A
498	ATP5AL2
498	ATPM
498	hATP1
498	MC5DN4
498	MOM2
498	OMR
498	ORM
498	COXPD22
498	HEL-S-123m
501	ALDH7A1
501	ATQ1
501	EPD
501	PDE
504	ATP5A1P2
504	ATP5AP2
506	ATP5B
506	ATPMB
506	ATPSB
506	HEL-S-271
507	ATP5BP1
507	ATP5BL1
507	ATPMBL1
507	ATPSBL1
509	ATP5C1
509	ATP5C
509	ATP5CL1
513	ATP5D
514	ATP5E
514	ATPE
514	MC5DN3
515	ATP5F1
515	PIG47
516	ATP5G1
516	ATP5A
516	ATP5G
517	ATP5G2
517	ATP5A
518	ATP5G3
518	P3
520	ATP5G2P1
520	ATP5GP1
521	ATP5I
521	ATP5K
522	ATP5J
522	ATP5
522	ATP5A
522	ATPM
522	CF6
522	F6
523	ATP6V1A
523	ATP6A1
523	ATP6V1A1
523	HO68
523	VA68
523	Vma1
523	VPP2
523	ARCL2D
525	ATP6V1B1
525	ATP6B1
525	RTA1B
525	VATB
525	VMA2
525	VPP3
526	ATP6V1B2
526	ATP6B1B2
526	ATP6B2
526	HO57
526	VATB
526	Vma2
526	VPP3
526	DOOD
526	ZLS2
526	LOC105379313
527	ATP6V0C
527	ATP6C
527	ATP6L
527	ATPL
527	VATL
527	Vma3
527	VPPC
528	ATP6V1C1
528	ATP6C
528	ATP6D
528	VATC
528	Vma5
529	ATP6V1E1
529	ATP6E
529	ATP6E2
529	ATP6V1E
529	P31
529	Vma4
529	ARCL2C
533	ATP6V0B
533	ATP6F
533	HATPL
533	VMA16
534	ATP6V1G2
534	ATP6G
534	ATP6G2
534	NG38
534	VMA10
535	ATP6V0A1
535	a1
535	ATP6N1
535	ATP6N1A
535	Stv1
535	Vph1
535	VPP1
537	ATP6AP1
537	16A
537	Ac45
537	ATP6IP1
537	ATP6S1
537	CF2
537	VATPS1
537	XAP-3
537	XAP3
538	ATP7A
538	DSMAX
538	MK
538	MNK
538	SMAX3
539	ATP5O
539	ATPO
539	OSCP
539	HMC08D05
540	ATP7B
540	PWD
540	WC1
540	WD
540	WND
541	ALDH7A1P1
541	ATQL1
542	ALDH7A1P2
542	ATQL2
543	ALDH7A1P3
543	ATQL3
544	ALDH7A1P4
544	ATQL4
545	ATR
545	FCTCS
545	FRP1
545	MEC1
545	SCKL
545	SCKL1
546	ATRX
546	ATR2
546	JMS
546	MRXHF1
546	RAD54
546	RAD54L
546	SFM1
546	SHS
546	XH2
546	XNP
546	ZNF-HX
546	MRX52
547	KIF1A
547	ATSV
547	C2orf20
547	HSN2C
547	MRD9
547	SPG30
547	UNC104
549	AUH
550	AUP1
551	AVP
551	ADH
